account_id,customer_id,account_type,balance,currency
A0001,C0106,Business,25271.41,INR
A0002,C0191,Current,195930.65,INR
A0003,C0086,Current,62366.8,USD
A0004,C0165,Savings,100189.08,USD
A0005,C0140,Current,128221.79,INR
A0006,C0040,Savings,162433.33,USD
A0007,C0146,Savings,149916.73,INR
A0008,C0010,Current,171167.77,INR
A0009,C0108,Business,95867.85,USD
A0010,C0094,Current,7037.56,USD
A0011,C0011,Business,118746.85,INR
A0012,C0044,Savings,166696.26,USD
A0013,C0060,Savings,187389.79,USD
A0014,C0158,Savings,194177.1,USD
A0015,C0100,Current,164974.19,INR
A0016,C0189,Business,49454.78,INR
A0017,C0024,Current,67713.42,USD
A0018,C0143,Savings,4480.46,INR
A0019,C0105,Savings,8148.7,INR
A0020,C0200,Business,184054.38,INR
A0021,C0094,Current,26584.73,INR
A0022,C0095,Savings,19431.3,INR
A0023,C0001,Business,129714.04,USD
A0024,C0197,Current,76465.32,INR
A0025,C0081,Savings,93050.86,USD
A0026,C0197,Savings,3699.06,USD
A0027,C0104,Current,172209.24,USD
A0028,C0052,Savings,158018.18,INR
A0029,C0079,Business,59276.89,USD
A0030,C0133,Savings,174133.7,USD
A0031,C0049,Current,139089.48,INR
A0032,C0019,Current,50089.92,INR
A0033,C0053,Savings,141223.42,USD
A0034,C0143,Business,172644.57,USD
A0035,C0186,Current,16425.35,INR
A0036,C0153,Savings,62875.48,USD
A0037,C0131,Savings,25026.03,USD
A0038,C0062,Savings,20189.55,USD
A0039,C0070,Savings,133038.87,INR
A0040,C0013,Business,61663.79,USD
A0041,C0188,Current,90933.53,USD
A0042,C0146,Savings,153476.44,INR
A0043,C0064,Savings,92185.29,USD
A0044,C0094,Business,195790.82,USD
A0045,C0075,Business,78691.67,USD
A0046,C0181,Business,162561.9,INR
A0047,C0187,Savings,105389.99,USD
A0048,C0039,Business,65728.56,INR
A0049,C0024,Savings,173723.6,INR
A0050,C0007,Current,2837.82,USD
A0051,C0016,Current,148197.17,INR
A0052,C0057,Business,156097.87,USD
A0053,C0152,Business,148548.85,INR
A0054,C0198,Current,63117.79,INR
A0055,C0043,Savings,63219.26,INR
A0056,C0086,Current,152459.71,USD
A0057,C0181,Savings,109277.36,USD
A0058,C0132,Savings,77194.71,USD
A0059,C0080,Business,32113.91,INR
A0060,C0200,Savings,115817.7,USD
A0061,C0049,Current,62728.59,INR
A0062,C0067,Savings,6260.97,USD
A0063,C0065,Savings,112320.03,USD
A0064,C0197,Savings,59380.38,USD
A0065,C0160,Savings,98604.37,INR
A0066,C0106,Savings,4746.08,USD
