txn_id,customer_id,amount,currency,transaction_type,flagged,date
T00001,C0138,34390.37,INR,Payment,True,2024-01-09
T00002,C0069,1816.07,INR,Withdrawal,False,2024-02-28
T00003,C0174,32570.56,USD,Payment,True,2024-05-23
T00004,C0067,23283.2,USD,Withdrawal,True,2024-05-05
T00005,C0030,24620.75,INR,Deposit,True,2024-12-05
T00006,C0162,8107.53,USD,Deposit,False,2024-01-26
T00007,C0175,576.14,INR,Payment,False,2024-08-30
T00008,C0005,48501.86,USD,Payment,True,2024-02-28
T00009,C0073,16459.63,INR,Payment,False,2024-06-18
T00010,C0128,32868.05,INR,Deposit,True,2024-03-24
T00011,C0125,39301.99,INR,Payment,True,2024-05-12
T00012,C0067,31775.36,USD,Payment,True,2024-09-17
T00013,C0011,3293.89,INR,Payment,False,2024-12-14
T00014,C0012,8872.41,INR,Payment,False,2024-06-29
T00015,C0192,8472.51,INR,Transfer,False,2024-11-08
T00016,C0043,32026.28,USD,Withdrawal,True,2024-01-12
T00017,C0084,20836.26,INR,Payment,True,2024-02-25
T00018,C0129,1339.54,INR,Transfer,False,2024-12-18
T00019,C0180,34247.07,USD,Withdrawal,True,2024-10-09
T00020,C0144,26920.09,INR,Transfer,True,2024-09-14
T00021,C0169,9943.3,USD,Deposit,True,2024-09-07
T00022,C0037,28749.85,INR,Withdrawal,True,2024-05-24
T00023,C0141,39660.9,USD,Payment,True,2024-07-16
T00024,C0116,26405.77,USD,Deposit,True,2024-08-06
T00025,C0028,27156.85,INR,Payment,True,2024-03-10
T00026,C0161,2356.12,INR,Transfer,False,2024-05-13
T00027,C0144,41318.47,INR,Transfer,True,2024-07-16
T00028,C0019,39074.69,INR,Payment,True,2024-03-02
T00029,C0167,23950.0,INR,Transfer,True,2024-07-27
T00030,C0057,472.3,USD,Payment,False,2024-04-09
T00031,C0147,38474.15,INR,Payment,True,2024-12-07
T00032,C0068,40685.1,INR,Payment,True,2024-07-21
T00033,C0027,14885.3,USD,Transfer,False,2024-04-16
T00034,C0095,7137.45,USD,Payment,False,2024-03-01
T00035,C0064,1427.93,INR,Transfer,False,2024-09-09
T00036,C0082,26795.03,USD,Transfer,True,2024-05-11
T00037,C0057,5764.09,USD,Deposit,False,2024-06-20
T00038,C0099,14390.63,INR,Deposit,True,2024-10-08
T00039,C0114,48681.83,INR,Transfer,True,2024-03-04
T00040,C0130,27492.75,USD,Withdrawal,True,2024-12-09
T00041,C0026,48128.05,INR,Deposit,True,2024-04-14
T00042,C0134,48177.93,USD,Payment,True,2024-06-21
T00043,C0047,22157.33,INR,Transfer,True,2024-10-23
T00044,C0171,37902.16,INR,Withdrawal,True,2024-09-30
T00045,C0093,42244.8,INR,Payment,True,2024-11-22
T00046,C0194,2515.95,INR,Withdrawal,False,2024-09-10
T00047,C0070,11686.48,USD,Transfer,False,2024-11-18
T00048,C0051,13416.64,INR,Deposit,False,2024-07-14
T00049,C0178,23759.2,INR,Payment,True,2024-12-04
T00050,C0065,18851.93,USD,Transfer,False,2024-02-25
T00051,C0171,41776.78,USD,Withdrawal,True,2024-12-16
T00052,C0107,851.95,INR,Withdrawal,False,2024-06-21
T00053,C0092,27760.84,USD,Withdrawal,True,2024-12-27
T00054,C0116,38489.12,INR,Deposit,True,2024-05-29
T00055,C0010,35691.39,INR,Payment,True,2024-05-23
